20240203	 01:21:44	 121c9835-d453-4f5d-917f-35daf7a7e813	 undefined	POST	/
20240203	 01:22:08	 91b375b4-3694-4a92-abf3-68f45457f7c0	 undefined	GET	/
20240203	 01:22:28	 673ad18b-d805-4a24-808d-aee4fb05a2e8	 undefined	POST	/auth
20240203	 01:22:35	 d15e04da-47d9-47a8-a648-5720185e694c	 undefined	POST	/auth/signup
20240203	 01:23:56	 b1af21aa-04fe-430b-ae21-cfae875e7b88	 undefined	POST	/auth/signup
20240203	 01:24:42	 2e2e14b8-a2c0-4728-9cb2-108480841141	 undefined	POST	/auth/login
20240203	 01:25:17	 592a8183-75d5-4ddd-8c64-9746432ee451	 undefined	POST	/auth/logout
20240203	 01:25:42	 16020863-ba31-418a-af92-ceeea361bdee	 undefined	DELETE	/auth/logout
20240203	 01:26:34	 76013a6c-cfdc-466c-adc3-2d2237147a27	 undefined	DELETE	/auth/forgetPassword
20240203	 01:27:07	 31e94b1d-6d02-4bc4-a079-5412a1131e35	 undefined	POST	/auth/forgetPassword
20240203	 01:27:21	 741411f7-bb21-4128-bc7f-55557892794d	 undefined	POST	/auth/forgetPassword
20240203	 01:28:16	 d5b0cd3f-8a70-4d44-a80e-86059d8cc590	 undefined	POST	/auth/forgotPassword
20240203	 01:31:34	 4e3b471f-5cf7-4b2b-b79c-b2bde4091991	 undefined	POST	/auth/forgotPassword
20240203	 01:33:42	 ada62672-7e71-4489-88bc-bf5713dc4877	 undefined	PATCH	/auth/resetPassword/eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VybmFtZSI6Im9sYW1pZGUxMjIzNDU2NzgiLCJpYXQiOjE3MDY5MjAyOTUsImV4cCI6MTcwNjkyMTE5NX0.CSZOB69OVo2Y3m6AEO4WffS_Fy5DiNQaNix6zmsodWA
20240203	 01:34:44	 6691086a-3b23-459f-82a7-0e9f4dd286b0	 undefined	PATCH	/auth/resetPassword/eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VybmFtZSI6Im9sYW1pZGUxMjIzNDU2NzgiLCJpYXQiOjE3MDY5MjAyOTUsImV4cCI6MTcwNjkyMTE5NX0.CSZOB69OVo2Y3m6AEO4WffS_Fy5DiNQaNix6zmsodWA
20240203	 01:37:10	 56f1d76e-233a-498d-9a79-cc64623e8b50	 undefined	PATCH	/auth/resetPassword/eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VybmFtZSI6Im9sYW1pZGUxMjIzNDU2NzgiLCJpYXQiOjE3MDY5MjAyOTUsImV4cCI6MTcwNjkyMTE5NX0.CSZOB69OVo2Y3m6AEO4WffS_Fy5DiNQaNix6zmsodWA
20240203	 01:39:30	 93732fcd-0e5b-46ef-ba6c-1790a8eb47cc	 undefined	PATCH	/auth/resetPassword/eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VybmFtZSI6Im9sYW1pZGUxMjIzNDU2NzgiLCJpYXQiOjE3MDY5MjAyOTUsImV4cCI6MTcwNjkyMTE5NX0.CSZOB69OVo2Y3m6AEO4WffS_Fy5DiNQaNix6zmsodWA
20240203	 01:42:43	 7c98a711-7483-4da3-854a-f7cc53934a91	 undefined	PATCH	/auth/resetPassword/eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VybmFtZSI6Im9sYW1pZGUxMjIzNDU2NzgiLCJpYXQiOjE3MDY5MjAyOTUsImV4cCI6MTcwNjkyMTE5NX0.CSZOB69OVo2Y3m6AEO4WffS_Fy5DiNQaNix6zmsodWA
20240203	 01:47:53	 e0dd66d0-b0c7-4c85-b126-5f14112bf531	 undefined	PATCH	/auth/resetPassword/eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VybmFtZSI6Im9sYW1pZGUxMjIzNDU2NzgiLCJpYXQiOjE3MDY5MjAyOTUsImV4cCI6MTcwNjkyMTE5NX0.CSZOB69OVo2Y3m6AEO4WffS_Fy5DiNQaNix6zmsodWA
